Amount Requested,Application Date,Loan Title,Zip Code,State,DTI,EmpLenY,Approved
10000.0,2017-10-01,Debt consolidation,730xx,OK,14.47,0.5,0
1000.0,2017-10-01,Business,731xx,OK,84.55,0.5,0
2000.0,2017-10-01,home_improvement,161xx,PA,17.42,0.5,0
4000.0,2017-10-01,debt_consolidation,186xx,PA,1.85,5.0,0
10000.0,2017-10-01,debt_consolidation,193xx,PA,71.58,0.5,0
9000.0,2017-10-01,debt_consolidation,194xx,PA,0.23,0.5,0
6000.0,2017-10-01,home_improvement,028xx,RI,13.28,0.5,0
1000.0,2017-10-01,debt_consolidation,290xx,SC,0.0,3.0,0
2000.0,2017-10-01,other,294xx,SC,19.63,0.5,0
10000.0,2017-10-01,major_purchase,295xx,SC,7.68,0.5,0
15000.0,2017-10-01,debt_consolidation,295xx,SC,40.27,0.5,0
5000.0,2017-10-01,Major purchase,750xx,TX,100.0,0.5,0
5000.0,2017-10-01,credit_card,752xx,TX,0.0,5.0,0
10000.0,2017-10-01,debt_consolidation,754xx,TX,80.23,0.5,0
6000.0,2017-10-01,debt_consolidation,756xx,TX,42.48,0.5,0
3000.0,2017-10-01,Other,760xx,TX,32.85,0.5,0
1000.0,2017-10-01,car,760xx,TX,19.23,1.0,0
16000.0,2017-10-01,Debt consolidation,761xx,TX,100.0,0.5,0
7175.0,2017-10-01,Car financing,761xx,TX,100.0,0.5,0
1000.0,2017-10-01,car,770xx,TX,15.82,0.5,0
15000.0,2017-10-01,Credit card refinancing,773xx,TX,46.37,0.5,0
20000.0,2017-10-01,debt_consolidation,774xx,TX,-1.0,0.5,0
35000.0,2017-10-01,Other,780xx,TX,8.99,0.5,0
2500.0,2017-10-01,other,783xx,TX,0.28,5.0,0
18000.0,2017-10-01,Debt consolidation,787xx,TX,17.35,2.0,0
23175.0,2017-10-01,Car financing,795xx,TX,100.0,0.5,0
23000.0,2017-10-01,Credit card refinancing,840xx,UT,46.16,0.5,0
25000.0,2017-10-01,Debt consolidation,841xx,UT,42.79,0.5,0
5000.0,2017-10-01,Debt consolidation,231xx,VA,100.0,0.5,0
15000.0,2017-10-01,debt_consolidation,984xx,WA,28.88,5.0,0
1000.0,2017-10-01,Medical expenses,988xx,WA,100.0,0.5,0
24000.0,2017-10-01,Debt consolidation,531xx,WI,0.45,5.0,0
6000.0,2017-10-01,Credit card refinancing,532xx,WI,13.37,0.5,0
25000.0,2017-10-01,Debt consolidation,546xx,WI,72.73,3.0,0
10000.0,2017-10-02,Home buying,361xx,AL,5.12,3.0,0
10000.0,2017-10-02,Debt consolidation,718xx,AR,15.67,0.5,0
50000.0,2017-10-02,Business Loan,718xx,AR,-1.0,0.5,0
3000.0,2017-10-02,Car financing,720xx,AR,16.38,0.5,0
1000.0,2017-10-02,other,722xx,AR,26.81,0.5,0
2000.0,2017-10-02,moving,850xx,AZ,10.0,5.0,0
20000.0,2017-10-02,debt_consolidation,850xx,AZ,45.7,0.5,0
5000.0,2017-10-02,Debt consolidation,853xx,AZ,3.3,0.5,0
10000.0,2017-10-02,Car financing,857xx,AZ,100.0,0.5,0
3000.0,2017-10-02,Vacation,857xx,AZ,3.28,0.5,0
26500.0,2017-10-02,credit_card,860xx,AZ,27.23,5.0,0
19500.0,2017-10-02,debt_consolidation,902xx,CA,-1.0,5.0,0
15000.0,2017-10-02,Debt consolidation,902xx,CA,26.85,0.5,0
10000.0,2017-10-02,other,902xx,CA,18.41,0.5,0
30000.0,2017-10-02,credit_card,908xx,CA,43.59,5.0,0
25000.0,2017-10-02,Debt consolidation,913xx,CA,20.2,0.5,0
14000.0,2017-10-02,Debt consolidation,916xx,CA,15.62,0.5,0
5375.0,2017-10-02,Credit card refinancing,917xx,CA,44.79,0.5,0
27600.0,2017-10-02,Car financing,919xx,CA,100.0,0.5,0
5000.0,2017-10-02,moving,923xx,CA,21.6,0.5,0
40000.0,2017-10-02,Debt consolidation,928xx,CA,100.0,0.5,0
20000.0,2017-10-02,Car financing,932xx,CA,7.53,0.5,0
25000.0,2017-10-02,Credit card refinancing,933xx,CA,49.54,0.5,0
10000.0,2017-10-02,Credit card refinancing,945xx,CA,43.5,0.5,0
5000.0,2017-10-02,Debt consolidation,945xx,CA,10.5,0.5,0
10000.0,2017-10-02,car,958xx,CA,42.06,0.5,0
5000.0,2017-10-02,Other,800xx,CO,31.74,0.5,0
10000.0,2017-10-02,home_improvement,802xx,CO,0.55,0.5,0
22000.0,2017-10-02,car,809xx,CO,26.42,0.5,0
10000.0,2017-10-02,debt_consolidation,809xx,CO,13.78,0.5,0
10000.0,2017-10-02,other,809xx,CO,1.94,0.5,0
5000.0,2017-10-02,Home improvement,060xx,CT,7.11,0.5,0
29000.0,2017-10-02,Debt consolidation,063xx,CT,46.8,0.5,0
10000.0,2017-10-02,debt_consolidation,067xx,CT,3.88,0.5,0
3000.0,2017-10-02,Debt consolidation,067xx,CT,39.63,0.5,0
5000.0,2017-10-02,Debt consolidation,068xx,CT,10.83,0.5,0
10000.0,2017-10-02,Other,322xx,FL,16.56,0.5,0
7500.0,2017-10-02,Debt consolidation,323xx,FL,100.0,0.5,0
1000.0,2017-10-02,other,327xx,FL,49.14,0.5,0
2500.0,2017-10-02,Other,327xx,FL,210.0,0.5,0
8000.0,2017-10-02,debt_consolidation,327xx,FL,53.43,0.5,0
9000.0,2017-10-02,Credit card refinancing,328xx,FL,40.73,0.5,0
25000.0,2017-10-02,Credit card refinancing,331xx,FL,79.49,0.5,0
8000.0,2017-10-02,debt_consolidation,333xx,FL,10.55,0.5,0
20000.0,2017-10-02,Credit card refinancing,338xx,FL,18.58,0.5,0
12000.0,2017-10-02,Credit card refinancing,341xx,FL,28.2,0.5,0
10000.0,2017-10-02,Debt consolidation,344xx,FL,23.42,0.5,0
30000.0,2017-10-02,Debt consolidation,300xx,GA,100.0,0.5,0
10000.0,2017-10-02,debt_consolidation,300xx,GA,30.03,0.5,0
25000.0,2017-10-02,Debt consolidation,301xx,GA,66.84,0.5,0
3000.0,2017-10-02,credit_card,301xx,GA,19.26,5.0,0
10000.0,2017-10-02,other,302xx,GA,55.36,0.5,0
25000.0,2017-10-02,debt_consolidation,303xx,GA,0.0,0.5,0
1000.0,2017-10-02,Other,303xx,GA,18.0,0.5,0
40000.0,2017-10-02,Debt consolidation,307xx,GA,57.1,0.5,0
2800.0,2017-10-02,Debt consolidation,307xx,GA,55.13,0.5,0
2500.0,2017-10-02,house,314xx,GA,10.17,5.0,0
35000.0,2017-10-02,debt_consolidation,319xx,GA,22.59,0.5,0
29000.0,2017-10-02,Debt consolidation,836xx,ID,17.1,0.5,0
15725.0,2017-10-02,debt_consolidation,600xx,IL,11.1,0.5,0
25000.0,2017-10-02,major_purchase,601xx,IL,1.28,0.5,0
33000.0,2017-10-02,Debt consolidation,602xx,IL,26120.0,0.5,0
15000.0,2017-10-02,Debt consolidation,613xx,IL,22.2,0.5,0
15000.0,2017-10-02,debt_consolidation,618xx,IL,8.92,0.5,0
11000.0,2017-10-02,other,462xx,IN,37.51,5.0,0
20000.0,2017-10-02,Credit card refinancing,467xx,IN,43.6,0.5,0
40000.0,2017-10-02,car,469xx,IN,39.07,0.5,0
10000.0,2017-10-02,home_improvement,476xx,IN,25.05,0.5,0
3000.0,2017-10-02,debt_consolidation,478xx,IN,7.53,0.5,0
25000.0,2017-10-02,debt_consolidation,409xx,KY,72.86,0.5,0
24000.0,2017-10-02,major_purchase,409xx,KY,0.79,0.5,0
1000.0,2017-10-02,other,410xx,KY,0.66,0.5,0
5000.0,2017-10-02,Debt consolidation,425xx,KY,37.66,0.5,0
5000.0,2017-10-02,Moving and relocation,705xx,LA,100.0,0.5,0
28000.0,2017-10-02,debt_consolidation,705xx,LA,27.02,0.5,0
20000.0,2017-10-02,debt_consolidation,712xx,LA,25.8,0.5,0
16000.0,2017-10-02,Credit card refinancing,012xx,MA,28.64,0.5,0
8000.0,2017-10-02,Debt consolidation,015xx,MA,8.44,0.5,0
20000.0,2017-10-02,Other,021xx,MA,2.88,0.5,0
4000.0,2017-10-02,debt_consolidation,027xx,MA,15.69,0.5,0
4000.0,2017-10-02,debt_consolidation,207xx,MD,40.07,0.5,0
1000.0,2017-10-02,other,212xx,MD,21.3,0.5,0
1500.0,2017-10-02,Other,212xx,MD,32.16,0.5,0
40000.0,2017-10-02,Debt consolidation,216xx,MD,49.21,0.5,0
30000.0,2017-10-02,Home improvement,217xx,MD,15.1,0.5,0
10000.0,2017-10-02,Debt consolidation,480xx,MI,13.9,0.5,0
3500.0,2017-10-02,Debt consolidation,480xx,MI,1.0,0.5,0
5000.0,2017-10-02,Debt consolidation,481xx,MI,46.55,0.5,0
5000.0,2017-10-02,debt_consolidation,482xx,MI,14.84,0.5,0
3600.0,2017-10-02,debt_consolidation,483xx,MI,21.0,0.5,0
8125.0,2017-10-02,Car financing,486xx,MI,100.0,0.5,0
3000.0,2017-10-02,debt_consolidation,497xx,MI,0.76,0.5,0
10000.0,2017-10-02,other,498xx,MI,9.58,10.0,0
20000.0,2017-10-02,Home buying,554xx,MN,35.59,0.5,0
5000.0,2017-10-02,debt_consolidation,554xx,MN,15.89,0.5,0
3000.0,2017-10-02,other,631xx,MO,28.6,0.5,0
37000.0,2017-10-02,Other,631xx,MO,0.11,0.5,0
3000.0,2017-10-02,Other,631xx,MO,37.44,0.5,0
5000.0,2017-10-02,Medical expenses,631xx,MO,3.75,0.5,0
10000.0,2017-10-02,Other,648xx,MO,20.18,0.5,0
1900.0,2017-10-02,Credit card refinancing,657xx,MO,51.33,0.5,0
1000.0,2017-10-02,medical,390xx,MS,11.17,5.0,0
3500.0,2017-10-02,Debt consolidation,392xx,MS,425.07,0.5,0
6500.0,2017-10-02,Other,275xx,NC,14.44,0.5,0
10000.0,2017-10-02,Other,276xx,NC,16.47,0.5,0
3500.0,2017-10-02,Debt consolidation,277xx,NC,1.56,0.5,0
2100.0,2017-10-02,Debt consolidation,280xx,NC,16.0,0.5,0
15000.0,2017-10-02,Debt consolidation,282xx,NC,35.26,0.5,0
10000.0,2017-10-02,debt_consolidation,282xx,NC,1.33,0.5,0
36575.0,2017-10-02,Car financing,283xx,NC,100.0,0.5,0
6000.0,2017-10-02,Debt consolidation,283xx,NC,24.43,0.5,0
20000.0,2017-10-02,Credit card refinancing,287xx,NC,51.22,0.5,0
5000.0,2017-10-02,debt_consolidation,685xx,NE,7.39,0.5,0
10000.0,2017-10-02,debt_consolidation,030xx,NH,40.42,0.5,0
1500.0,2017-10-02,Other,037xx,NH,2.58,0.5,0
1000.0,2017-10-02,Debt consolidation,070xx,NJ,11.15,0.5,0
12000.0,2017-10-02,Debt consolidation,070xx,NJ,29.44,0.5,0
3500.0,2017-10-02,other,070xx,NJ,-1.0,0.5,0
15000.0,2017-10-02,Home buying,071xx,NJ,17.64,0.5,0
35000.0,2017-10-02,debt_consolidation,074xx,NJ,13.47,0.5,0
1000.0,2017-10-02,Other,077xx,NJ,53.3,0.5,0
5000.0,2017-10-02,Vacation,077xx,NJ,0.72,0.5,0
2000.0,2017-10-02,Home improvement,080xx,NJ,13.46,0.5,0
6000.0,2017-10-02,Debt consolidation,080xx,NJ,16.85,0.5,0
40925.0,2017-10-02,Car financing,875xx,NM,100.0,0.5,0
11000.0,2017-10-02,debt_consolidation,890xx,NV,-1.0,0.5,0
7500.0,2017-10-02,Credit card refinancing,100xx,NY,20.55,0.5,0
15000.0,2017-10-02,debt_consolidation,102xx,NY,-1.0,0.5,0
2500.0,2017-10-02,Moving and relocation,104xx,NY,10.59,0.5,0
1300.0,2017-10-02,Other,109xx,NY,4.37,0.5,0
2500.0,2017-10-02,other,112xx,NY,0.0,3.0,0
5000.0,2017-10-02,Credit card refinancing,113xx,NY,35.27,0.5,0
20000.0,2017-10-02,Debt consolidation,113xx,NY,29.1,0.5,0
10000.0,2017-10-02,Debt consolidation,113xx,NY,21.61,0.5,0
30000.0,2017-10-02,home_improvement,130xx,NY,8.16,0.5,0
8000.0,2017-10-02,debt_consolidation,140xx,NY,-1.0,0.5,0
3000.0,2017-10-02,debt_consolidation,144xx,NY,47.33,0.5,0
30000.0,2017-10-02,Debt consolidation,430xx,OH,42.22,0.5,0
12000.0,2017-10-02,Credit card refinancing,432xx,OH,33.3,6.0,0
5000.0,2017-10-02,debt_consolidation,441xx,OH,1.0,5.0,0
7000.0,2017-10-02,Debt consolidation,441xx,OH,6.31,0.5,0
15000.0,2017-10-02,Debt consolidation,446xx,OH,5.77,0.5,0
5000.0,2017-10-02,other,452xx,OH,4.05,5.0,0
2000.0,2017-10-02,other,730xx,OK,39.26,0.5,0
2000.0,2017-10-02,car,740xx,OK,16.66,0.5,0
5000.0,2017-10-02,major_purchase,744xx,OK,8.2,0.5,0
20000.0,2017-10-02,Debt consolidation,971xx,OR,0.0,0.5,0
2000.0,2017-10-02,debt_consolidation,975xx,OR,22.85,0.5,0
1000.0,2017-10-02,Debt consolidation,975xx,OR,13.1,0.5,0
2000.0,2017-10-02,Other,150xx,PA,19.94,0.5,0
10000.0,2017-10-02,other,151xx,PA,56.85,0.5,0
13000.0,2017-10-02,major_purchase,154xx,PA,10.19,0.5,0
2500.0,2017-10-02,Debt consolidation,166xx,PA,13.05,0.5,0
30000.0,2017-10-02,debt_consolidation,173xx,PA,50.29,5.0,0
10000.0,2017-10-02,Major purchase,181xx,PA,0.78,0.5,0
2000.0,2017-10-02,Car financing,181xx,PA,100.0,0.5,0
3000.0,2017-10-02,Debt consolidation,190xx,PA,100.0,0.5,0
15900.0,2017-10-02,home_improvement,190xx,PA,-1.0,0.5,0
27100.0,2017-10-02,Other,193xx,PA,10.14,0.5,0
6000.0,2017-10-02,credit_card,028xx,RI,-1.0,0.5,0
8000.0,2017-10-02,Credit card refinancing,291xx,SC,21.21,0.5,0
10000.0,2017-10-02,Debt consolidation,371xx,TN,30.35,0.5,0
1000.0,2017-10-02,Home improvement,376xx,TN,124.06,0.5,0
13500.0,2017-10-02,major_purchase,377xx,TN,39.18,5.0,0
10000.0,2017-10-02,home_improvement,750xx,TX,21.01,5.0,0
12950.0,2017-10-02,Car financing,751xx,TX,100.0,0.5,0
1800.0,2017-10-02,other,752xx,TX,-1.0,0.5,0
35000.0,2017-10-02,Major purchase,754xx,TX,8.4,0.5,0
10000.0,2017-10-02,home_improvement,756xx,TX,15.52,5.0,0
25000.0,2017-10-02,car,760xx,TX,4.24,0.5,0
1000.0,2017-10-02,Car financing,760xx,TX,100.0,0.5,0
2500.0,2017-10-02,debt_consolidation,761xx,TX,23.52,0.5,0
10000.0,2017-10-02,debt_consolidation,764xx,TX,24.47,0.5,0
30000.0,2017-10-02,Credit card refinancing,765xx,TX,100.0,0.5,0
1500.0,2017-10-02,Debt consolidation,765xx,TX,2.5,0.5,0
10000.0,2017-10-02,other,777xx,TX,14.27,0.5,0
20000.0,2017-10-02,debt_consolidation,778xx,TX,69.19,4.0,0
40000.0,2017-10-02,Debt consolidation,782xx,TX,33.26,0.5,0
10000.0,2017-10-02,renewable_energy,784xx,TX,34.28,5.0,0
5200.0,2017-10-02,Car financing,787xx,TX,100.0,0.5,0
4000.0,2017-10-02,Debt consolidation,799xx,TX,34.2,0.5,0
10000.0,2017-10-02,Debt consolidation,844xx,UT,16.74,0.5,0
10000.0,2017-10-02,debt_consolidation,223xx,VA,11.57,0.5,0
40000.0,2017-10-02,Business,224xx,VA,28.92,0.5,0
20000.0,2017-10-02,Debt consolidation,234xx,VA,62.47,0.5,0
20000.0,2017-10-02,debt_consolidation,236xx,VA,8.53,5.0,0
1000.0,2017-10-02,Debt consolidation,238xx,VA,69.71,0.5,0
10000.0,2017-10-02,Debt consolidation,244xx,VA,17.4,0.5,0
6000.0,2017-10-02,Debt consolidation,246xx,VA,29.15,0.5,0
10000.0,2017-10-02,Debt consolidation,541xx,WI,10.98,0.5,0
15000.0,2017-10-03,Debt consolidation,997xx,AK,26.18,0.5,0
7000.0,2017-10-03,Other,352xx,AL,23.97,0.5,0
3500.0,2017-10-03,Debt consolidation,355xx,AL,11.92,0.5,0
11000.0,2017-10-03,Other,358xx,AL,100.0,0.5,0
21000.0,2017-10-03,Debt consolidation,723xx,AR,22.01,0.5,0
20675.0,2017-10-03,Car financing,727xx,AR,100.0,0.5,0
15000.0,2017-10-03,Credit card refinancing,850xx,AZ,21.2,0.5,0
6000.0,2017-10-03,Other,908xx,CA,0.0,0.5,0
28000.0,2017-10-03,home_improvement,916xx,CA,5.42,5.0,0
15000.0,2017-10-03,Debt consolidation,921xx,CA,47.42,0.5,0
20000.0,2017-10-03,debt_consolidation,922xx,CA,-1.0,5.0,0
30000.0,2017-10-03,Debt consolidation,925xx,CA,7418.58,0.5,0
10000.0,2017-10-03,debt_consolidation,932xx,CA,28.92,0.5,0
5000.0,2017-10-03,Debt consolidation,945xx,CA,6.02,0.5,0
15000.0,2017-10-03,home_improvement,945xx,CA,6.3,0.5,0
3000.0,2017-10-03,Debt consolidation,950xx,CA,3.0,0.5,0
10000.0,2017-10-03,Other,950xx,CA,22.84,0.5,0
25000.0,2017-10-03,Debt consolidation,958xx,CA,18.59,0.5,0
10000.0,2017-10-03,Other,803xx,CO,4.76,0.5,0
1000.0,2017-10-03,other,809xx,CO,51.01,0.5,0
5000.0,2017-10-03,Debt consolidation,066xx,CT,100.0,0.5,0
10000.0,2017-10-03,debt_consolidation,322xx,FL,0.0,0.5,0
30000.0,2017-10-03,Medical expenses,327xx,FL,0.0,0.5,0
3000.0,2017-10-03,car,327xx,FL,24.95,5.0,0
40000.0,2017-10-03,Debt consolidation,328xx,FL,41.69,0.5,0
40000.0,2017-10-03,Debt consolidation,329xx,FL,100.0,0.5,0
20000.0,2017-10-03,Credit card refinancing,330xx,FL,17.27,0.5,0
29000.0,2017-10-03,home_improvement,331xx,FL,8.88,0.5,0
3000.0,2017-10-03,Debt consolidation,331xx,FL,3.17,0.5,0
2000.0,2017-10-03,Other,331xx,FL,35.7,3.0,0
5000.0,2017-10-03,Credit card refinancing,331xx,FL,18.89,3.0,0
20000.0,2017-10-03,Business,335xx,FL,55.6,0.5,0
5000.0,2017-10-03,Other,342xx,FL,3.08,0.5,0
5000.0,2017-10-03,debt_consolidation,344xx,FL,19.51,0.5,0
25000.0,2017-10-03,Other,346xx,FL,6.65,0.5,0
10000.0,2017-10-03,home_improvement,301xx,GA,13.29,5.0,0
1000.0,2017-10-03,Debt consolidation,301xx,GA,12.03,0.5,0
30000.0,2017-10-03,Home improvement,301xx,GA,38.6,0.5,0
35000.0,2017-10-03,other,302xx,GA,43.87,0.5,0
10000.0,2017-10-03,debt_consolidation,305xx,GA,27.75,0.5,0
10000.0,2017-10-03,debt_consolidation,310xx,GA,9.04,5.0,0
3500.0,2017-10-03,Credit card refinancing,310xx,GA,19.38,0.5,0
5000.0,2017-10-03,debt_consolidation,315xx,GA,23.24,0.5,0
10000.0,2017-10-03,other,317xx,GA,0.35,5.0,0
3000.0,2017-10-03,other,837xx,ID,77.33,0.5,0
15000.0,2017-10-03,Debt consolidation,503xx,IL,25.74,3.0,0
3000.0,2017-10-03,debt_consolidation,600xx,IL,8.26,0.5,0
2000.0,2017-10-03,Debt consolidation,601xx,IL,100.0,0.5,0
10000.0,2017-10-03,Debt consolidation,604xx,IL,80.0,0.5,0
10000.0,2017-10-03,Debt consolidation,605xx,IL,21.15,0.5,0
10000.0,2017-10-03,Debt consolidation,605xx,IL,54.63,0.5,0
20000.0,2017-10-03,debt_consolidation,622xx,IL,0.0,0.5,0
4000.0,2017-10-03,debt_consolidation,463xx,IN,14.82,0.5,0
2100.0,2017-10-03,Other,665xx,KS,26.32,0.5,0
5000.0,2017-10-03,other,402xx,KY,42.22,1.0,0
1000.0,2017-10-03,Debt consolidation,402xx,KY,22.84,0.5,0
20000.0,2017-10-03,debt_consolidation,706xx,LA,22.49,5.0,0
10000.0,2017-10-03,debt_consolidation,707xx,LA,43.2,0.5,0
35000.0,2017-10-03,major_purchase,010xx,MA,0.0,2.0,0
20000.0,2017-10-03,Credit card refinancing,021xx,MA,39.38,0.5,0
10000.0,2017-10-03,Debt consolidation,021xx,MA,37.9,7.0,0
10000.0,2017-10-03,Debt consolidation,208xx,MD,19.51,0.5,0
10000.0,2017-10-03,car,211xx,MD,0.34,1.0,0
5000.0,2017-10-03,Debt consolidation,212xx,MD,31.57,0.5,0
2500.0,2017-10-03,other,212xx,MD,0.0,0.5,0
13000.0,2017-10-03,Debt consolidation,039xx,ME,50.23,0.5,0
25000.0,2017-10-03,debt_consolidation,039xx,ME,8.5,1.0,0
2000.0,2017-10-03,Other,480xx,MI,100.0,0.5,0
5000.0,2017-10-03,Major purchase,481xx,MI,9.04,0.5,0
10000.0,2017-10-03,Car financing,481xx,MI,1.3,0.5,0
10000.0,2017-10-03,debt_consolidation,488xx,MI,36.0,0.5,0
19000.0,2017-10-03,major_purchase,491xx,MI,7.37,0.5,0
20000.0,2017-10-03,Debt consolidation,494xx,MI,24.85,0.5,0
10000.0,2017-10-03,other,494xx,MI,28.85,0.5,0
40000.0,2017-10-03,Debt consolidation,496xx,MI,18.44,0.5,0
1000.0,2017-10-03,Debt consolidation,550xx,MN,5.52,0.5,0
3000.0,2017-10-03,other,551xx,MN,8.93,0.5,0
20000.0,2017-10-03,Debt consolidation,551xx,MN,9.29,0.5,0
10000.0,2017-10-03,debt_consolidation,554xx,MN,39.56,0.5,0
15000.0,2017-10-03,debt_consolidation,633xx,MO,60.19,0.5,0
15000.0,2017-10-03,Other,633xx,MO,21.9,0.5,0
3000.0,2017-10-03,Debt consolidation,641xx,MO,15.68,0.5,0
10000.0,2017-10-03,Other,648xx,MO,7.8,0.5,0
40000.0,2017-10-03,debt_consolidation,393xx,MS,31.24,0.5,0
10000.0,2017-10-03,Debt consolidation,395xx,MS,14.83,0.5,0
10000.0,2017-10-03,debt_consolidation,270xx,NC,61.87,0.5,0
